device_id,date,time,latitude,longitude,geohash,temperature,temp_status,heartbeat,hr_status,movement,battery
D009,2024-05-13,06:56:50,7.3040372,5.1388202,s179sctvp,31.0,low,96.0,normal,0.0,100.0
D009,2024-05-13,06:57:00,7.3039608,5.1386943,s179sctus,31.0,low,110.0,high,0.0,100.0
D009,2024-05-13,06:57:20,7.3037846,5.1384579,s179sctew,30.0,low,76.0,normal,1.0,100.0
D009,2024-05-13,07:16:00,7.3048915,5.1321934,s179scc4h,34.0,low,49.0,low,0.0,100.0
D009,2024-05-13,07:17:25,7.3047742,5.1322837,s179scc1q,34.0,low,43.0,low,0.0,100.0
D009,2024-05-13,07:17:40,7.3046307,5.1321773,s179scc0s,34.0,low,50.0,low,0.0,100.0
D009,2024-05-13,07:17:55,7.3040822,5.13213,s179sc9j7,34.0,low,38.0,low,0.0,100.0
D009,2024-05-13,07:18:00,7.3039351,5.1321371,s179sc9he,34.0,low,38.0,low,0.0,100.0
D009,2024-05-13,07:18:06,7.3035456,5.1321475,s179sc945,34.0,low,51.0,low,0.0,100.0
D009,2024-05-13,07:18:11,7.3033227,5.1321744,s179sc90u,34.0,low,51.0,low,0.0,100.0
D009,2024-05-13,07:18:16,7.3039831,5.1324628,s179sc9kg,34.0,low,51.0,low,0.0,100.0
D004,2024-05-13,09:38:15,7.3045201,5.1346029,s179scdzu,38.0,high,75.0,normal,1.0,100.0
D006,2024-05-13,19:14:09,7.3128659,5.13335,s179sg3bx,32.0,low,41.0,low,0.0,100.0
D002,2024-05-14,12:23:30,7.2913959,5.1465082,s179mp7e6,36.0,low,113.0,high,1.0,100.0
D002,2024-05-14,12:23:38,7.2914623,5.1464291,s179mp7eb,36.0,low,113.0,high,1.0,100.0
D003,2024-05-14,13:10:57,7.292315,5.1419218,s179mp80z,33.0,low,83.0,normal,0.0,100.0
D003,2024-05-14,13:11:04,7.2923346,5.1418316,s179mp80v,34.0,low,109.0,high,1.0,100.0
D003,2024-05-14,13:14:13,7.2926367,5.1396443,s179kzwdd,34.0,low,69.0,normal,0.0,100.0
D003,2024-05-14,13:14:24,7.2927749,5.1395417,s179kzwe2,34.0,low,69.0,normal,0.0,100.0
D003,2024-05-14,13:14:32,7.2928579,5.1394935,s179kzw7y,34.0,low,69.0,normal,0.0,100.0
D003,2024-05-14,13:14:40,7.2929268,5.139426,s179kzwkm,34.0,low,69.0,normal,0.0,100.0
D003,2024-05-14,13:14:57,7.2928355,5.1394958,s179kzw7y,34.0,low,69.0,normal,0.0,100.0
D003,2024-05-14,13:25:04,7.2975386,5.1349461,s179sb7ph,34.0,low,69.0,normal,0.0,100.0
D003,2024-05-14,13:26:32,7.2981482,5.1344957,s179sbdff,34.0,low,69.0,normal,0.0,100.0
D003,2024-05-14,13:26:37,7.2982119,5.1344123,s179sbdg0,34.0,low,69.0,normal,0.0,100.0
D003,2024-05-14,13:26:52,7.2982827,5.1343528,s179sbdex,34.0,low,69.0,normal,0.0,100.0
D003,2024-05-14,13:26:59,7.2983773,5.134325,s179sbdsn,34.0,low,69.0,normal,0.0,100.0
D003,2024-05-14,13:27:08,7.2985201,5.1341473,s179sbdsf,34.0,low,69.0,normal,0.0,100.0
D003,2024-05-14,13:27:21,7.2985504,5.1340554,s179sbdt0,34.0,low,69.0,normal,0.0,100.0
D003,2024-05-14,13:27:28,7.2985778,5.1339646,s179sbdmq,34.0,low,69.0,normal,0.0,100.0
D003,2024-05-14,13:27:38,7.2986448,5.1338998,s179sbdms,34.0,low,69.0,normal,0.0,100.0
D003,2024-05-14,13:27:46,7.2987297,5.13386,s179sbdq5,34.0,low,69.0,normal,0.0,100.0
D003,2024-05-14,13:27:55,7.2988243,5.1338587,s179sbdqe,34.0,low,69.0,normal,0.0,100.0
D003,2024-05-14,13:28:03,7.2989118,5.1338852,s179sbdrh,34.0,low,69.0,normal,0.0,100.0
D003,2024-05-14,13:28:11,7.2989981,5.1339299,s179sbdrt,34.0,low,69.0,normal,0.0,100.0
D003,2024-05-14,13:28:19,7.2990766,5.1339843,s179sbf2n,34.0,low,69.0,normal,0.0,100.0
D003,2024-05-14,13:28:39,7.2989664,5.1339262,s179sbdrt,34.0,low,69.0,normal,0.0,100.0
D003,2024-05-14,13:29:11,7.2996949,5.1341492,s179sbfef,34.0,low,69.0,normal,0.0,100.0
D003,2024-05-14,13:29:20,7.2997816,5.1341779,s179sbfs7,34.0,low,69.0,normal,0.0,100.0
D003,2024-05-14,13:29:25,7.2998776,5.1341793,s179sbfsg,34.0,low,69.0,normal,0.0,100.0
D003,2024-05-14,13:29:31,7.2999505,5.134117,s179sbft3,34.0,low,69.0,normal,0.0,100.0
D003,2024-05-14,13:29:43,7.3000429,5.1341216,s179sbftc,34.0,low,69.0,normal,0.0,100.0
D003,2024-05-14,13:29:50,7.3001333,5.1341248,s179sbfw3,34.0,low,69.0,normal,0.0,100.0
D003,2024-05-14,13:29:58,7.3002251,5.1341194,s179sbfwc,34.0,low,69.0,normal,0.0,100.0
D003,2024-05-14,13:30:06,7.3003228,5.1341204,s179sbfx3,34.0,low,69.0,normal,0.0,100.0
